epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8578,1.7256,3.35911,1.78067,0.00732,0.88,0.31307,0.15477,1.40936,3.44007,1.8482,0.000362283,0.000362283,0.000362283
2,97.3266,1.46904,3.10314,1.62316,0.59855,0.24363,0.427,0.2282,1.23216,2.78382,1.5494,0.00070844,0.00070844,0.00070844
3,138.211,1.47984,2.75358,1.636,0.34123,0.63667,0.48199,0.2621,1.42797,3.30676,1.94399,0.00103015,0.00103015,0.00103015
4,176.177,1.4742,2.72906,1.66587,0.42011,0.65023,0.53958,0.40146,1.18998,2.76208,1.64394,0.00100101,0.00100101,0.00100101
5,215.712,1.51555,2.59367,1.68152,0.46752,0.73836,0.58684,0.34309,1.52222,2.07031,1.9983,0.000964348,0.000964348,0.000964348
6,254.17,1.44851,2.49987,1.63517,0.37452,0.83233,0.60443,0.42719,1.29536,2.44746,1.70861,0.000927685,0.000927685,0.000927685
7,293.159,1.38893,2.43864,1.60553,0.39196,0.93333,0.58318,0.35948,1.33945,2.34765,1.7066,0.000891022,0.000891022,0.000891022
8,333.583,1.26223,2.29625,1.52014,0.38236,0.63468,0.51089,0.26398,1.31064,2.34737,1.70713,0.000854359,0.000854359,0.000854359
9,373.411,1.34493,2.36165,1.59596,0.38044,0.71261,0.49522,0.25915,1.35797,2.17407,1.77336,0.000817696,0.000817696,0.000817696
10,412.582,1.31256,2.26831,1.55344,0.5526,0.69,0.57944,0.42888,1.11857,1.82985,1.61632,0.000781033,0.000781033,0.000781033
11,451.33,1.31459,2.22662,1.53399,0.43828,0.90667,0.66212,0.4731,1.17799,1.79042,1.59432,0.00074437,0.00074437,0.00074437
12,490.972,1.24428,2.09597,1.49062,0.40609,0.78973,0.62597,0.42012,1.28667,1.81405,1.61372,0.000707707,0.000707707,0.000707707
13,529.543,1.25597,2.14559,1.49326,0.69442,0.56709,0.75676,0.51745,1.11353,1.73021,1.47498,0.000671044,0.000671044,0.000671044
14,567.735,1.26014,2.09359,1.50889,0.50557,0.7932,0.71832,0.50304,0.9849,1.70984,1.42293,0.000634381,0.000634381,0.000634381
15,608.718,1.16389,2.00576,1.43222,0.61417,0.73902,0.70489,0.5095,0.99363,1.60874,1.44811,0.000597718,0.000597718,0.000597718
16,647.674,1.15233,1.95781,1.43551,0.62128,0.67374,0.7274,0.542,1.01484,1.63256,1.47441,0.000561055,0.000561055,0.000561055
17,686.993,1.17172,1.99071,1.45885,0.57642,0.79297,0.6924,0.51844,1.00295,1.58826,1.43433,0.000524392,0.000524392,0.000524392
18,727.145,1.15027,1.94436,1.4352,0.70082,0.70667,0.72887,0.53376,0.92937,1.4625,1.35964,0.000487729,0.000487729,0.000487729
19,766.485,1.18458,1.91095,1.47858,0.60248,0.71896,0.72216,0.53414,1.02567,1.63373,1.44704,0.000451066,0.000451066,0.000451066
20,805.43,1.14942,1.97418,1.44051,0.46893,0.77275,0.73223,0.49364,1.09372,1.71632,1.47448,0.000414403,0.000414403,0.000414403
21,842.739,0.94643,1.95722,1.38088,0.5763,0.92128,0.82955,0.59623,0.99431,1.55778,1.37938,0.00037774,0.00037774,0.00037774
22,881.104,0.8462,1.79043,1.30855,0.78416,0.73046,0.8121,0.54413,1.06156,1.5748,1.45693,0.000341077,0.000341077,0.000341077
23,919.354,0.8308,1.71134,1.32122,0.59046,0.82333,0.80707,0.52221,1.03092,1.60343,1.47117,0.000304414,0.000304414,0.000304414
24,956.886,0.86837,1.68223,1.33543,0.58013,0.88506,0.81191,0.59794,0.92011,1.48677,1.36859,0.000267751,0.000267751,0.000267751
25,995.288,0.83646,1.67698,1.27369,0.581,0.85926,0.79603,0.62005,0.86062,1.46771,1.33757,0.000231088,0.000231088,0.000231088
26,1033.27,0.81001,1.58054,1.29766,0.58713,0.82715,0.82038,0.61127,0.851,1.43493,1.3434,0.000194425,0.000194425,0.000194425
27,1071.39,0.83054,1.50241,1.23767,0.60592,0.96,0.83214,0.58805,0.91687,1.4254,1.36476,0.000157762,0.000157762,0.000157762
28,1109.18,0.68823,1.4441,1.19332,0.63686,0.96,0.84969,0.61878,0.8898,1.42248,1.3251,0.000121099,0.000121099,0.000121099
29,1146.5,0.74073,1.4079,1.17997,0.6515,0.96,0.85295,0.62817,0.86363,1.39958,1.30628,8.4436e-05,8.4436e-05,8.4436e-05
30,1184.88,0.76277,1.47233,1.2307,0.62117,0.87077,0.85052,0.64619,0.83938,1.39218,1.28724,4.7773e-05,4.7773e-05,4.7773e-05
